25Mississippi                 0743              23.5000000 388580      4Web                            Web                            Web                            Web                            Conservator                                                        Conservator                                                        Conservator                                                           Conservator                                                            111111A2212211131111111A2211211131111111A2211211131331112111211112222                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111112111111111111112222C22111C11112313311111111111212A2222211221211111111222111211212221121C12AAAAAAAAAAAAAAAAAAAAA2212111121111212121111111111111C111111C111111111C11111211111321131111123222111112AAA2111C1111111122212111111111111111111111111111131111111112211122111111113121212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
25Mississippi                 0811              23.5000000 388240      4Web                            Web                            N/A                            Web                            Title IV Coordinator                                               Title IV Coordinator                                               Title IV Coordinator                                                  Title IV Coordinator                                                   111212121112212611121121211122126111211212111221262332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111111111111111111111111111111111111111111122222112221322222211222222233333222222213226122112222111222A222222222A222122222222222A222222222C2222AAAAAAAAAAAAAAAAAAAAA22222222222222222CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2322233333111211121222222222222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
25Mississippi                 0968              23.5000000 396660      4Web                                                           Web                            Web                            Chief Academic Officer                                                                                                                Superintendent                                                        Federal Programs Director                                              211111A2111211232111111A2111211132111111A211121113233121222C222222221 City                                                                                                1111112AAA1111111111111111111111111C11111111111111112111111111111111221211222222233333MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM1111211111111111C1111111C1111111111111111111111111111112CC111C112A122111112211112221111111111111111111111111111111221211111111111111111221211112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0160              14.7551692 638300      2Web                            Web                            Web                            Web                            Superintendent                                                     Maintenance Supervisor                                             Assistant Superintendent                                              Assistant Superintendent                                               111111A1111111131111111A1111111131111111A11111111C2332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111111111111111112111111111111311111111111111233333111112112222112221112212112A222222222A211122222222222A21222221111112AAAAAAAAAAAAAAAAAAAAA133212222223222211111111111111111111112111111111111111211111311111121121111211122AAA22111111211111111211111111111111111111111111111111111C111112111111111113121112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0174              23.5000000 656290      4Web                            Web                            Web                            N/A                            Assistant Principal                                                Assistant Principal                                                Assistant Principal                                                   Assistant Principal                                                    121112122112122312121121221122223121211212211212232332AAAAAAAAAAAAAAA                                                                                                     21111111111111111111111111111111111111111111111112AAAA111111111111111111111111122222221111111111121122121221112211122222222A1111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1121111111111111111111111111111111111111111111111111122222111132AAA111111111111111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
26Missouri                    0227              23.5000000 656290      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112121112112611111121211121126111111212111211262332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111111111111112AAAA1111111211111111111111111123233311111111111221111111111111111211121111111111111111111211111111111112AAAAAAAAAAAAAAAAAAAAA1212112121111213111111111111111111111C111111111111111111111131221123111222211113111111111111111111111111111111111111111111111111113111111111211212211111111212111111111111            2211111212122                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
26Missouri                    0360              14.7551692 636010      2Paper (CMS UserID: 11)         Web                            Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Coordinator for Safety                                             Director of Facilities                                             Coordinator for Safety                                                Coordinator for Safety                                                 122222C2111211131222212111112111312222121211121113233122CCC1212222C21                                                                                                     1111112AAA11111111111222211111111111112AAAA1111112AAAA121111121111122222112121221333331122221122221111111C2111222A222222CCCCC11C111C12222CCCCCCCCCCCCCCCC2AAAAAAAAAAAAAAAAAAAAA11132211CC111CCCC1111221121111112111111111111111121122122111311212121221222311132AAA1C1112112111112222211111111111111221111212111212222112211222222122111113121112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0391              18.4500000 650100      3Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Director of Buildings and Grounds                                      11111212111211131111C2212111211231112112111112112323311122122221222C2                                                                                                     2111C12AAA11C1111111111112111111111111111111111112AAAA11C11111112C112222111111C22222C211111111333231121111C111212A222222222A121111111122112A2122122C222122AAAAAAAAAAAAAAAAAAAAA12112C212222222CC111121212222111211111212122121211111221111C3111121112222221111212A2221112112C111C2112111111211111111111111111111C122111121C111C21212221111211111112111111            142AAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0392              23.5000000 656290      4Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Principal                                                             Principal                                                              1111121211221126AAAAAAAAAAAAAAAAA111111212111211262332AAAAAAAAAAAAAAA                                                                                                     1111111111111111111112222121121212AAAA2AAAA22AAAA2AAAA11111112112112121111112122132333212211113332112111112111111211AAA2222A111111111111222A212212221211113121111111131131121121333123332233323111111111111111111111111111111111111122111111122122311222A221A23111111121112222212222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0458              14.7551692 638300      2Web                                                           N/A                            Web                            Safe Schools                                                                                                                          Safe Schools                                                          Safe Schools                                                           122222122122112612222121221221126122221212212211262332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111122AAAA11111111111111111112111112112AAAA11111111111311111211211122223333MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2322221223111122111122222222222221221112222112222222222232223222222222222222222222222122112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0490              23.5000000 656290      4Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111212122112112611121121221121126111211212211211261332AAAAAAAAAAAAAAA                                                                                                     1111112AAA111111111111111112AAAA22AAAA2AAAA12AAAA2AAAA1111111111111111111122222221222212111212AAA6122111112111112A122222222A221111111112222A212211211121212123332312111132113331333123331233321111112111111111111111111111111111112122112123222321212222222111212A11C1112122112122222111111111111112111121221111122211111112222222112211112121212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0513              18.4500000 640620      3Web                            Web                            Web                            Web                            Elementary Principal, Student Safety Coordinator                   Elementary Principal, Student Safety Coordinator                   Elementary Principal, Student Safety Coordinator                      Elementary Principal, Student Safety Coordinator                       122222121122112612222221211221126122222212111211262331112122221122222                                                                                                     2111112AAA1111111111111111C11111111111111121111121212212111111111112222212222222232333222222212226122222212111222A222222222A222111111112112A21221222222222AAAAAAAAAAAAAAAAAAAAA22222222222222231111121222C211112111111111121111121112211111322232212123222312231121221212212222122212112212222212222122222221111131222111122222222222212212221212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0519              14.7551692 638300      2Web                            Web                            Web                            Web                            Assistant Superintendent                                           Assistant Superintendent                                           Assistant Superintendent                                              Assistant Superintendent                                               121212122112112311121121221221123121211212212211232331222211221112112                                                                                                     111111111111111111111111111C1111111111111111111111C122111111111111121111111111112333332212221122221111111121111C112222221221211111111112222A1121122222222C313333332123213132C22122221222212222211111111111111111111111111111111111111111111111111111122222333332AAA12111111111111111111111111111111111111111111111C111111111111111111111114111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0534              19.1203198 634610      1Web                            Web                            Web                            Web                            Director of Safety and Transportation                              Director of Safety and Transportation                              Director of Safety and Transportation                                 Director of Safety and Transportation                                  12111212212211131211112122112111322111121C211211131321112221211222221 City of Kirksville                                                                                  211112112211C1111111111111111211C11111111111111112AAAA1111111111111211111111112213232311111211133211212111C111112A12111212212C212211111221121122112221111121311221C112C13121111111111111122212111121211221211112111111121121111121222212111312211111222221211221121C1C11211211112222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0535              19.1203198 631220      1Web                            N/A                            N/A                            Web                            Assistant Supt.                                                    CFO                                                                CFO                                                                   Executive Director Student Services                                    22222222111212232222C222211122213211222221111212131321112211212121C11 locl city council                                                                                   2111112AAA1111112AAAA11121111111C2AAAA1111212AAAA1211222222222222332222211222212133333CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC21222322321121221112112111112122C2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22111111111111             912212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
26Missouri                    1114              14.7551692 636010      2Paper (CMS UserID: 17)         Paper (CMS UserID: 17)         Paper (CMS UserID: 17)         Paper (CMS UserID: 17)         SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  1111121221121121121111212211211231212112C221121123C332AAAAAAAAAAAAAAA                                                                                                     11111211111111111111111111111112111112111121111122AAAA11111111111112CCCCCCCCCCCCC32222111111113123121211112111112A1222211221111111111222212A11221222211112AAAAAAAAAAAAAAAAAAAAA121111111112111111111111111111111111111111111111111112211111212122221122111211121121111112121222122212111111222121122212222211111112222111112222222222112112221212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0583              18.4500000 656100      3Web                            Web                            Web                            Web                            Assistant Superintendent                                           Assistant Superintendent                                           Resource Officer                                                      Resource Officer                                                       111112121122111611111121211221116111111212111212162332AAAAAAAAAAAAAAA                                                                                                     111111111211111111111111111111111111111111111111111222111111111111111111111111111222222112111133342222212C1111222A11AAA11111111111111112112A222212222211213131111111133112131111111C1111222122112111111122111111111212111211111111222212111311112221122122211122AAA111111111111111111111111111111111111111111111111111111111111111111111115211112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0593              19.1203198 634610      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         122112121112111612221121211121116122211212111211161332AAAAAAAAAAAAAAA                                                                                                     2111111122111111111111111112AAAA22AAAA111121111121112211111112111112121211222122233323111112113332422212112111222A122222222A221111111112112A11221122122222AAAAAAAAAAAAAAAAAAAAA131221322223222211111211121111111111111111211111111122212111312131211222222211232AAA11111211211112222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0614              23.5000000 656290      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         11111212211211211111122C221121121111112212211211212332AAAAAAAAAAAAAAA                                                                                                     2111122AAA1111111111111111211111111111111111111112AAAA11111212222112222211222122223333222222212231112211112111122A222222222A221112222222222A22222222C22221213222121222212111111222222222222222222111212222221111111112121221211121112212222322222132223222311132AAA1111121221112222C212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0692              18.4500000 650100      3Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Principal                                                             Principal                                                              121112211112212612111221111222126121112211112221262332AAAAAAAAAAAAAAA                                                                                                     11122211111111111111111111111111111111111111111112AAAA11111111112111111211112122222222111111113334322212221111222A222222322A211111111122212A22222222222222AAAAAAAAAAAAAAAAAAAAA2333223332233323211112112211111111111111112211111111122122223222311322232223111311211111121111121222221111112221111C1122111211111132222111222222222222111112221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0694              19.1203198 650810      1Web                            Web                            Web                            Web                            SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  12222212C222112312122221221221123121222212212211232332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111111111111111111211111211112111112112AAAA1111111212111222121122212223222322211121323211221222212A122A12CCC2222A111111111111111121221222121122AAAAAAAAAAAAAAAAAAAAA133322333223332322121211121121111111112111211112121112212111322231231212222311131111CC1112222111122211111111111111111121111111111131111111112222222222112212221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0706              23.5000000 656320      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112122112111511121221221121115111212212211211152331222222222222222                                                                                                     111111112211111111111111111111111111112AAAA22AAAA2AAAA11111112111111221211222222123233212112113222212112112111222A12222212222111222C2222222A22222222222222AAAAAAAAAAAAAAAAAAAAA23332233322333232211111112221111111111211122111111122221111131121121112222221113112111111211211112222211C111111211122111111111111232222111112112222222111111112112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0763              19.1203198 634610      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         121222122222212312122221C22222123121222212222221232331111111111122222                                                                                                     2111112AAA11111111111111111111111111111111111111111222222222222221122222112222222323331222C11122222111111121112211222222222A211112212222222A22222222222222AAAAAAAAAAAAAAAAAAAAA12222122221332222111111111221111111111111112111111112221111131123113112322221112111221111211212212221211111111111111111111111122113222221112212211212211211211121111121122             712212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
26Missouri                    0778              14.7551692 638300      2Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Principal                                                             Principal                                                              111112122212111611111121222121116AAAAAAAAAAAAAAAAA2332AAAAAAAAAAAAAAA                                                                                                     1111111CCC1111111111111111111111111111111111111112AAAA11111111112332111111111112232333111112113332111112112111112A222221121121112222222222121121222221122111211113132111311111313332133322333232111111111111111111111111111111111122221211132223123212322A311A32AAA22111221222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21121112111133             212122222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
26Missouri                    0885              14.7551692 631370      2Web                            Web                            Web                            Web                            Director of Facilities                                             Director of Facilities                                             Director of Safety and Security                                       Director of Safety and Security                                        22222212211211132111121A1111211132111121A1111211132221112122222122221 Counity bsketbll ges/FEMA                                                                           111112111111111111111111122111111111111111112AAAA2AAAA222122221212222222112222221333332111111122261111111121112211221111222A111111111111112A11111112111122AAAAAAAAAAAAAAAAAAAAA111112222222222312121222122111112111121122211112121122212222212122131222222111132AAA22121212222212221222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA223212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0894              19.1203198 630250      1Web                            Web                            Web                            Web                            Assistant Superintendent of Administrative Services                Assistant Superintendent of Administrative Services                Assistant Superintendent of Administrative Services                   Assistant Superintendent of Administrative Services                    CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC233CCCCCCCCCCCCCCCC                                                                                                     1111111122CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2AAAA1111111111111122221C11CCCCCCCCCC11111111111351111111112A11112222221221222211111111112A22222222222222AAAAAAAAAAAAAAAAAAAAA1212222222222221211112111121111111111111111111111111112111111111111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0953              18.4500000 640620      3Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         shpps                                                              shpps                                                              shpps                                                                 shpps                                                                  111112121112111611111121211121116111111211111212162332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111112222211222222111122111112112226511111112111112A222222222A211111111222211111211111111121313322222222211232112131121311213112121111111122111111111111111111111111122112111312232111123222112222AAA221112112222122212111111111111111111111111111111111111111222112122111112111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0990              18.4500000 630840      3Web                            Web                            Web                            Web                            Assistant Superintendent                                           Assistant Superintendent                                           Assistant Superintendent                                              Assistant Superintendent                                               121112122112111612121221221121116121212212121211161111111111211111222                                                                                                     1111111112111111C1111111111111111111111111111111111222111111111111122212C1111C22222222111111113335112221122212222A21AAA21121212122122121212A2122122212222C2121133211111121111111222222222222221111112111122221211111111112211112111122111113212212312221122111211C1121111111111122212111111111111111121111111111122122111122222222222212112111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    0169              14.7551692 636010      2Web                            Web                            Web                            Web                            Assistant Superintendent                                           Assistant Superintendent                                           Athletic Director                                                     Athletic Director                                                      111112122112111111111121221121111211111212211211112222AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111212111212112121112122AAAA11111111111111222111122112233333211111211223122111122111122A222222222A211111111122112A21222222222121333333333333113213333121221212212212112111111212211111111111111121111111122212111312231211213222313331122221111112111122112111111111111111111111111111132222111122222222222112112221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    1036              19.1203198 650810      1Web                            Web                            Web                            Web                            Junior High Principal                                              Elementary School Principal                                        High School Principal                                                 Superintendent                                                         121112122212112312122121222121123121221212221211231112AAAAAAAAAAAAAAA                                                                                                     1112212AAA1111111111122221211212111212112121112122AAAA111111111111111112121121222323332121122111121121122121C22211222222222A222122222222222A212222221222213121222212211122111121233213332122223211122112121211121111111111112121211122121113222221321212223133312A211111211211122222112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22132AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
26Missouri                    1059              18.4500000 630840      3Paper (CMS UserID: 11)         Web                            Web                            Paper (CMS UserID: 11)         High School Guidance Counselor                                     School Resource Officer                                            School Resource Officer                                               High School Principal                                                  121212121122111312121221211221113121212212111211132331112222212122222                                                                                                     11111111221111111111111111111111111111111111111112AAAA1111111111111111111111111CCC3CCC1111121111C41C11C11C2C111111C2CCCC222AC111111111CCCCCCCCCCCCCCCCCCC122323122111221211C11211CCCCCCCCCCCCC3111111111111C11111111111111111111111222121113111112112222222111211C1C1111111222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
27Montana                     0029              18.4500000 597580      3Web                            Web                            Web                            Web                            Guidance Counselor                                                 Superintendent                                                     Superintendent                                                        Superintendent                                                         122222122222212112222221222222121AAAAAAAAAAAAAAAAA1332AAAAAAAAAAAAAAA                                                                                                     2111111112111111122222222222AAAA111112111121111122AAAA2111111122211222222122222223333311111112AAA551122111122A222A21AAA11221221211212221222A22222221122222AAAAAAAAAAAAAAAAAAAAA22222222222222222111111111111111112AAAAAAAAAAAAAAAA12221211121212111122322A322A212A222111222222211122111221122211112111111222213111112211212222222222221222322221111111111            1212212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
27Montana                     0124              14.7551692 594170      2Web                            Web                            Web                            Web                            Assistant Superintendent                                           Director of Maintenance                                            Teacher / Crisis Coordinator                                          Assistant Superintendent                                               111112121112111611111121211121116111111212111211162332AAAAAAAAAAAAAAA                                                                                                     111111111111111111111111111111111111111111111111111112111111111111111111111111122222221111121122235112111121111111222222222A222C11111112C12A2222222212211132321131123111311211211111222222222211111121112111111111111111111111111121221111131211121121122221113111111111111211112222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22221112111112            1112212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
27Montana                     0222              14.7551692 594170      2Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         211212122222112621121121222221126211111212221211262331112222211122222                                                                                                     21111211221111111111111111111111111111111121111122AAAA111111111111112212112211122333332211C121123521221111222A112A122222222A22C111111112212A21C2122222C222AAAAAAAAAAAAAAAAAAAAA133122332223322311111211221111112111111121211111121112211111312131112222222222222AAA1111C221211112222211111111111112111111222111313112211111222211221211111212112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
